"filename", "language", "Python", "Docker", "Markdown", "CSV", "JSON", "comment", "blank", "total"
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelMmx.py", "Python", -85, 0, 0, 0, 0, -1, -26, -112
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelMmxData.py", "Python", -84, 0, 0, 0, 0, 0, -27, -111
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelRunningAccount.py", "Python", -107, 0, 0, 0, 0, 0, -30, -137
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelSqlAlchemySession.py", "Python", -77, 0, 0, 0, 0, 0, -24, -101
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelTableInformation.py", "Python", -83, 0, 0, 0, 0, 0, -23, -106
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelTypera.py", "Python", -82, 0, 0, 0, 0, 0, -26, -108
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelUser.py", "Python", -79, 0, 0, 0, 0, -1, -26, -106
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelUserExtension.py", "Python", -78, 0, 0, 0, 0, 0, -20, -98
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ORM.py", "Python", -408, 0, 0, 0, 0, -167, -38, -613
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\PublicModel.py", "Python", -86, 0, 0, 0, 0, -15, -10, -111
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\PublicValuesAndSchemas.py", "Python", -109, 0, 0, 0, 0, -14, -21, -144
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\UserGroup.py", "Python", -20, 0, 0, 0, 0, 0, 0, -20
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\__init__.py", "Python", -208, 0, 0, 0, 0, 0, -2, -210
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Server\config.py", "Python", -47, 0, 0, 0, 0, -160, -21, -228
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ORM.py", "Python", 408, 0, 0, 0, 0, 167, 38, 613
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\PublicFunctions.py", "Python", 87, 0, 0, 0, 0, 26, 9, 122
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\PublicValuesAndSchemas.py", "Python", 108, 0, 0, 0, 0, 14, 24, 146
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaCoursePlan.py", "Python", 125, 0, 0, 0, 0, 12, 32, 169
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaCurricula.py", "Python", 111, 0, 0, 0, 0, 11, 32, 154
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaDepartment.py", "Python", 74, 0, 0, 0, 0, 11, 26, 111
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaEquipment.py", "Python", 86, 0, 0, 0, 0, 11, 26, 123
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaLocation.py", "Python", 72, 0, 0, 0, 0, 11, 26, 109
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaLocationExtension.py", "Python", 113, 0, 0, 0, 0, 11, 28, 152
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaMmx.py", "Python", 73, 0, 0, 0, 0, 11, 26, 110
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaMmxData.py", "Python", 73, 0, 0, 0, 0, 11, 27, 111
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaRunningAccount.py", "Python", 109, 0, 0, 0, 0, 11, 32, 152
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaSqlAlchemySession.py", "Python", 66, 0, 0, 0, 0, 11, 21, 98
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaTableInformation.py", "Python", 72, 0, 0, 0, 0, 11, 23, 106
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaTypera.py", "Python", 71, 0, 0, 0, 0, 11, 27, 109
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaUser.py", "Python", 70, 0, 0, 0, 0, 11, 26, 107
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\SchemaUserExtension.py", "Python", 68, 0, 0, 0, 0, 11, 21, 100
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceCoursePlan.py", "Python", 0, 0, 0, 0, 0, -11, -1, -12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceCurricula.py", "Python", -16, 0, 0, 0, 0, 0, 0, -16
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\ServiceUser.py", "Python", -5, 0, 0, 0, 0, 0, -2, -7
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\__init__.py", "Python", 226, 0, 0, 0, 0, 0, 2, 228
"Total", "-", -477, -2, 94, 71, 0, -74, -72, -460
